"Index" "USD" "GBP"
2016-01-04 1.0898 0.7381
2016-01-05 1.0746 0.73235
2016-01-06 1.0742 0.7344
2016-01-07 1.0868 0.74545
2016-01-08 1.0861 0.74519
2016-01-11 1.0888 0.74705
2016-01-12 1.0836 0.7508
2016-01-13 1.0816 0.7502
2016-01-14 1.0893 0.75703
2016-01-15 1.0914 0.7615
2016-01-18 1.0892 0.76263
2016-01-19 1.0868 0.76473
2016-01-20 1.0907 0.77
2016-01-21 1.0893 0.77182
2016-01-22 1.0808 0.75459
2016-01-25 1.0815 0.7589
2016-01-26 1.0837 0.76095
2016-01-27 1.0888 0.75965
2016-01-28 1.0903 0.76228
2016-01-29 1.092 0.7641
2016-02-01 1.0884 0.761
2016-02-02 1.0919 0.7586
2016-02-03 1.0933 0.7533
2016-02-04 1.1206 0.76595
2016-02-05 1.1202 0.76975
2016-02-08 1.1101 0.7724
2016-02-09 1.1236 0.77945
2016-02-10 1.1257 0.77328
2016-02-11 1.1347 0.7874
2016-02-12 1.1275 0.77735
2016-02-15 1.118 0.772
2016-02-16 1.1166 0.7758
2016-02-17 1.1136 0.77835
2016-02-18 1.1084 0.77143
2016-02-19 1.1096 0.77715
2016-02-22 1.1026 0.78243
2016-02-23 1.1002 0.77985
2016-02-24 1.0981 0.78935
2016-02-25 1.1027 0.7892
2016-02-26 1.1006 0.78745
2016-02-29 1.0888 0.7858
2016-03-01 1.0872 0.778
2016-03-02 1.0856 0.7741
2016-03-03 1.0901 0.77435
2016-03-04 1.097 0.77483
2016-03-07 1.0953 0.77438
2016-03-08 1.1028 0.77608
2016-03-09 1.0973 0.77135
2016-03-10 1.0857 0.76728
2016-03-11 1.109 0.77595
2016-03-14 1.1119 0.77428
2016-03-15 1.1109 0.78358
2016-03-16 1.1064 0.7873
2016-03-17 1.1311 0.78218
2016-03-18 1.1279 0.77855
2016-03-21 1.1271 0.78303
2016-03-22 1.1212 0.7879
2016-03-23 1.1171 0.78985
2016-03-24 1.1154 0.78938
2016-03-29 1.1194 0.7845
2016-03-30 1.1324 0.7858
2016-03-31 1.1385 0.79155
2016-04-01 1.1432 0.7989
2016-04-04 1.138 0.79738
2016-04-05 1.1367 0.8016
2016-04-06 1.1336 0.80808
2016-04-07 1.1364 0.80728
2016-04-08 1.1363 0.8073
2016-04-11 1.139 0.8006
2016-04-12 1.1396 0.7984
2016-04-13 1.1298 0.79388
2016-04-14 1.1252 0.7956
2016-04-15 1.1284 0.79575
